,efp,ado
0,1_0_0,0.5757575757575757
33,5_4_0,0.5757575757575757
11,3_3_1,0.5656565656565656
47,6_5_0,0.5656565656565656
39,5_4_2,0.5555555555555556
36,5_5_1,0.5454545454545454
37,5_5_2,0.5454545454545454
16,4_4_0,0.5454545454545454
15,4_3_0,0.5454545454545454
28,4_5_7,0.5454545454545454
48,6_5_1,0.5454545454545454
51,6_5_4,0.5454545454545454
6,3_3_0,0.5454545454545454
43,5_5_7,0.5353535353535354
29,4_5_8,0.5353535353535354
32,4_5_10,0.5353535353535354
34,5_5_0,0.5353535353535354
35,5_4_1,0.5353535353535354
5,3_2_0,0.5353535353535354
44,5_5_8,0.5353535353535354
38,5_5_3,0.5353535353535354
45,5_5_9,0.5353535353535354
8,3_4_1,0.5353535353535354
27,4_5_6,0.5353535353535354
41,5_5_5,0.5353535353535354
40,5_5_4,0.5353535353535354
30,4_4_4,0.5252525252525253
52,6_5_5,0.5252525252525253
1,2_2_0,0.5252525252525253
24,4_5_4,0.5252525252525253
7,3_4_0,0.5252525252525253
21,4_4_2,0.5252525252525253
9,3_5_0,0.5252525252525253
10,3_5_1,0.5252525252525253
14,3_5_3,0.5151515151515151
2,2_3_0,0.5151515151515151
46,5_5_10,0.5151515151515151
25,4_5_5,0.5151515151515151
13,3_5_2,0.5151515151515151
17,4_5_0,0.5151515151515151
18,4_5_1,0.5151515151515151
20,4_4_1,0.5151515151515151
22,4_5_2,0.5151515151515151
23,4_5_3,0.5151515151515151
31,4_5_9,0.5151515151515151
26,4_4_3,0.5151515151515151
12,3_4_2,0.5050505050505051
4,2_5_0,0.5050505050505051
49,6_5_2,0.5050505050505051
42,5_5_6,0.505050505050505
19,4_3_1,0.505050505050505
3,2_4_0,0.505050505050505
50,6_5_3,0.505050505050505
